FECH;ADUA;PAIS;COD_PAI4;COD_SAL1;COD_SAL;DPTO2;VIA;BANDERA;REGIM;MODAD;FINALID;CER_ORI1;SISESP;DPTO1;UNID;CODUNI2;CANTI;PBK;PNK;FOBDOL;FOBPES
2310;3;23;DEU;3;BOG;11;9;249;1;198;1;8;1;11;11;U;7100;238,55;220;1278;5383575
2310;3;23;DEU;3;BOG;11;9;249;1;198;1;8;1;11;11;U;41367;1497,44;1381;7450,06;31383377,75
2310;3;23;DEU;3;BOG;11;9;249;1;198;1;8;1;11;11;U;1;79;41;639,61;2717702,89
2310;3;23;DEU;3;BOG;11;9;249;1;198;1;8;2;11;33;KG;246;290;246;2081,67;8649213,94
2310;3;23;DEU;3;BOG;15;3;573;1;198;1;8;2;15;33;KG;7537;8692;7537;41130;174343900,5
2310;3;23;DEU;3;BOG;15;9;249;1;198;1;8;2;15;33;KG;1300;1589,21;1300;7800;33063030
2310;3;23;DEU;3;BOG;15;9;249;1;198;1;8;2;15;33;KG;2;2,19;2;1;4238,85
2310;3;23;DEU;3;BOG;15;9;249;1;198;1;8;2;15;33;KG;180;207,51;180;477;2021931,45
2310;3;23;DEU;3;BOG;15;9;249;1;198;1;8;2;15;33;KG;3420;4032,05;3420;18183,8;77078400,63
2310;3;23;DEU;3;BOG;25;3;23;1;198;1;8;1;25;11;U;4800;154;149;624;2639900,64
2310;3;23;DEU;3;BOG;25;3;23;1;198;1;8;2;25;33;KG;20;26,84;20;84,7;360152,02
2310;3;23;DEU;3;BOG;25;3;23;1;198;1;8;2;25;33;KG;25;33,17;25;112,66;481099,37
2310;3;23;DEU;3;BOG;25;3;23;1;198;1;8;2;25;33;KG;130;171,53;130;489,4;2080932,61
2310;3;23;DEU;3;BOG;25;3;23;1;198;1;8;2;25;33;KG;26;34,89;26;112,95;480273,57
2310;3;23;DEU;3;BOG;25;3;23;1;198;1;8;2;25;33;KG;10;11,96;10;4;16927,88
2310;3;23;DEU;3;BOG;25;3;23;1;198;1;8;2;25;33;KG;13;17,44;13;157,71;670597,11
