FECH;ADUA;PAIS;COD_PAI4;COD_SAL1;COD_SAL;DPTO2;VIA;BANDERA;REGIM;MODAD;FINALID;CER_ORI1;SISESP;DPTO1;UNID;CODUNI2;CANTI;PBK;PNK;FOBDOL;FOBPES
2312;3;23;DEU;3;BOG;25;5;245;1;198;1;5;1;25;11;U;6800;225,62;100;924,8;3659211,64
2312;3;23;DEU;3;BOG;25;5;245;1;198;1;8;1;25;11;U;15300;546,29;530;3825;15265116
2312;3;23;DEU;3;BOG;25;5;245;1;198;1;8;1;25;11;U;24140;861,7;836;6035;24084960,8
2312;3;23;DEU;3;BOG;25;7;827;1;198;1;8;1;25;11;U;4200;121,11;109;672;2658351,36
2312;3;23;DEU;3;BOG;25;7;827;1;198;1;8;1;25;11;U;48160;1777,88;1600;7705,6;30482428,92
2312;3;23;DEU;3;BOG;25;7;827;1;198;1;8;2;25;11;U;17700;911;820;4385,5;17504560,46
2312;3;23;DEU;3;BOG;25;8;618;1;198;1;8;1;25;11;U;2400;111;105;707,33;2738392,72
2312;3;23;DEU;3;BOG;50;3;23;1;198;1;8;2;50;11;U;985;354;340;6163;24194520,51
2312;3;23;DEU;3;BOG;50;9;249;1;198;1;8;2;50;11;U;150;57,6;50;678,9;2628327,4
2312;3;23;DEU;3;BOG;50;9;249;1;198;1;8;2;50;11;U;22900;653,39;580;3293,95;12929203,33
2312;3;23;DEU;3;BOG;68;3;23;1;198;1;8;2;68;67;M3;2898,3;2338643,62;2338643,62;2648878,02;10476910283
2312;3;23;DEU;3;BOG;68;5;245;1;198;1;8;2;68;33;KG;306,7;310;306,7;25974;103458338,1
2312;3;23;DEU;3;BOG;76;3;23;1;198;1;8;1;76;11;U;1970685;821,35;641,66;11657,58;46612950,19
2312;3;23;DEU;3;BOG;76;3;23;1;198;1;8;2;76;33;KG;321,6;352,99;321,6;10299,44;41024214,43
2312;3;23;DEU;3;BOG;76;9;249;1;198;1;8;1;76;11;U;675500;269,65;207,06;3152,17;12396192,22
2312;3;26;ARM;3;BOG;11;3;253;1;198;1;8;2;11;11;U;2000;74;72;340;1367891,4
2312;3;26;ARM;3;BOG;11;3;253;1;198;1;8;2;11;11;U;67;36,13;32;157,9;631364,72
2312;3;26;ARM;3;BOG;11;3;253;1;198;1;8;2;11;11;U;1214;724,86;642;3655,8;14617752,85
2312;3;26;ARM;3;BOG;11;3;253;1;198;1;8;2;11;11;U;147;140;124;322,7;1290319,17
2312;3;26;ARM;3;BOG;11;8;618;1;198;1;8;1;11;11;U;400;11,78;10;74;294705
2312;3;26;ARM;3;BOG;11;8;618;1;198;1;8;1;11;11;U;3550;107,21;93;607;2428776,3
2312;3;26;ARM;3;BOG;11;8;618;1;198;1;8;2;11;11;U;9440;660;599;2926,4;11678911,23
2312;3;26;ARM;3;BOG;11;9;169;1;198;1;8;1;11;11;U;800;16;14;140;557550
2312;3;26;ARM;3;BOG;11;9;169;1;198;1;8;2;11;11;U;4190;140,1;124;769,9;3093280,25
2312;3;26;ARM;3;BOG;11;9;169;1;198;1;8;2;11;11;U;35450;1079,99;981;5938,75;23789197,18
